user_id,mandate_attempt_datetime,day_of_week,hour_of_day,setup_status,failure_reason
U0001,2026-02-03 07:27:00,Tuesday,7,Failed,Incorrect_UPI_PIN
U0002,2026-02-10 04:16:00,Tuesday,4,Failed,Incorrect_UPI_PIN
U0003,2026-02-16 08:16:00,Monday,8,Failed,VPA_Invalid
U0004,2026-02-22 15:28:00,Sunday,15,Success,
U0005,2026-02-19 17:49:00,Thursday,17,Success,
U0006,2026-03-01 16:24:00,Sunday,16,Success,
U0007,2026-01-06 01:33:00,Tuesday,1,Failed,Incorrect_UPI_PIN
U0008,2026-01-26 11:32:00,Monday,11,Failed,Incorrect_UPI_PIN
U0009,2026-01-15 13:44:00,Thursday,13,Failed,Incorrect_UPI_PIN
U0010,2026-02-10 19:30:00,Tuesday,19,Success,
U0011,2026-02-12 00:16:00,Thursday,0,Success,
U0012,2026-02-12 17:18:00,Thursday,17,Success,
U0013,2026-02-12 06:50:00,Thursday,6,Failed,VPA_Invalid
U0014,2026-01-23 09:44:00,Friday,9,Failed,Incorrect_UPI_PIN
U0015,2026-02-06 13:30:00,Friday,13,Failed,Bank_Timeout
U0016,2026-02-12 18:39:00,Thursday,18,Success,
U0017,2026-02-11 21:12:00,Wednesday,21,Failed,Bank_Timeout
U0018,2026-01-12 21:26:00,Monday,21,Success,
U0019,2026-01-18 01:00:00,Sunday,1,Failed,Incorrect_UPI_PIN
U0020,2026-02-22 02:14:00,Sunday,2,Success,
U0021,2026-01-29 06:59:00,Thursday,6,Success,
U0022,2026-02-10 04:51:00,Tuesday,4,Failed,VPA_Invalid
U0023,2026-02-04 01:11:00,Wednesday,1,Success,
U0024,2026-02-11 16:37:00,Wednesday,16,Success,
U0025,2026-01-09 01:15:00,Friday,1,Success,
U0026,2026-01-07 03:21:00,Wednesday,3,Success,
U0027,2026-01-07 08:29:00,Wednesday,8,Failed,Bank_Timeout
U0028,2026-02-20 00:31:00,Friday,0,Success,
U0029,2026-02-27 22:09:00,Friday,22,Success,
U0030,2026-01-13 05:40:00,Tuesday,5,Failed,Bank_Timeout
U0031,2026-02-06 06:48:00,Friday,6,Failed,VPA_Invalid
U0032,2026-01-10 01:39:00,Saturday,1,Success,
U0033,2026-02-20 23:53:00,Friday,23,Failed,Bank_Timeout
U0034,2026-02-04 11:36:00,Wednesday,11,Failed,Incorrect_UPI_PIN
U0035,2026-02-14 16:05:00,Saturday,16,Failed,VPA_Invalid
U0036,2026-01-10 02:44:00,Saturday,2,Success,
U0037,2026-01-24 11:02:00,Saturday,11,Success,
U0038,2026-02-15 09:01:00,Sunday,9,Failed,VPA_Invalid
U0039,2026-02-07 03:05:00,Saturday,3,Failed,VPA_Invalid
U0040,2026-02-24 20:37:00,Tuesday,20,Failed,VPA_Invalid
U0041,2026-02-15 00:43:00,Sunday,0,Failed,Incorrect_UPI_PIN
U0042,2026-01-23 14:11:00,Friday,14,Success,
U0043,2026-01-07 09:42:00,Wednesday,9,Failed,VPA_Invalid
U0044,2026-01-13 06:50:00,Tuesday,6,Failed,Incorrect_UPI_PIN
U0045,2026-02-12 13:11:00,Thursday,13,Failed,VPA_Invalid
U0046,2026-01-08 14:43:00,Thursday,14,Failed,Incorrect_UPI_PIN
U0047,2026-02-11 15:21:00,Wednesday,15,Failed,Incorrect_UPI_PIN
U0048,2026-02-20 11:30:00,Friday,11,Failed,VPA_Invalid
U0049,2026-01-06 23:07:00,Tuesday,23,Success,
U0050,2026-01-27 00:31:00,Tuesday,0,Success,
U0051,2026-01-21 13:10:00,Wednesday,13,Failed,VPA_Invalid
U0052,2026-02-22 04:09:00,Sunday,4,Failed,Bank_Timeout
U0053,2026-02-23 09:49:00,Monday,9,Failed,VPA_Invalid
U0054,2026-02-05 10:04:00,Thursday,10,Failed,Incorrect_UPI_PIN
U0055,2026-01-22 16:24:00,Thursday,16,Failed,Incorrect_UPI_PIN
U0056,2026-02-09 04:57:00,Monday,4,Success,
U0057,2026-02-16 07:59:00,Monday,7,Success,
U0058,2026-01-19 06:52:00,Monday,6,Failed,Incorrect_UPI_PIN
U0059,2026-01-02 04:42:00,Friday,4,Failed,VPA_Invalid
U0060,2026-01-23 13:58:00,Friday,13,Failed,VPA_Invalid
U0061,2026-01-03 10:49:00,Saturday,10,Success,
U0062,2026-02-20 05:56:00,Friday,5,Success,
U0063,2026-01-28 19:31:00,Wednesday,19,Success,
U0064,2026-01-16 01:14:00,Friday,1,Failed,Bank_Timeout
U0065,2026-01-15 20:35:00,Thursday,20,Success,
U0066,2026-01-14 22:23:00,Wednesday,22,Failed,VPA_Invalid
U0067,2026-01-10 02:25:00,Saturday,2,Failed,Incorrect_UPI_PIN
U0068,2026-02-12 21:14:00,Thursday,21,Failed,Bank_Timeout
U0069,2026-02-07 18:33:00,Saturday,18,Success,
U0070,2026-01-03 02:07:00,Saturday,2,Failed,Incorrect_UPI_PIN
U0071,2026-02-09 16:04:00,Monday,16,Success,
U0072,2026-01-12 22:45:00,Monday,22,Success,
U0073,2026-02-11 08:39:00,Wednesday,8,Failed,Incorrect_UPI_PIN
U0074,2026-02-19 13:51:00,Thursday,13,Success,
U0075,2026-02-27 15:55:00,Friday,15,Failed,VPA_Invalid
U0076,2026-01-20 04:09:00,Tuesday,4,Success,
U0077,2026-02-06 02:47:00,Friday,2,Success,
